110	  .	PRESIDENTS OF THE USA - We're Not Going To Make It
111	  *	THE ROOTS - Illadelph Halflife (Album)
112	  *	THE ROOTS - Phrenology (Album)
113	  .	ERIK TRUFFAZ - The Secret Of The Dead Sea
114	  .	THE STAVES - Wisely & Slow
115	  *	TOM WAITS - Bone Machine (Album)
116	  *	TOM WAITS - Mule Variations (Album)
117	  *	TOW WAITS - Bad As Me (Album)
118	  *	TOWNES VAN ZANDT - Flyin' Shoes (Album)
119	  *	CAFE HAWAII - Various Artists (Album)
120	  .	HAZEL DICKENS & ALICE GERRARD - Working Girl Blues
121	/+	SCOTT H BIRAM - All Tracks
156	/+	THE POGUES - Best Of
167	/+	BILLIE HOLIDAY - Jazz at the Philharmonic
181	/+	SIMON & GARFUNKEL - Bridge Over Troubled Water
191	/+	BUENA VISTA SOCIAL CLUB - BVSC
205	/+	CABREL - Sabarcane
214	/+	CAKE - Comfort Eagle
224	/+	CAKE - Fashion Nugget
237	/+	CHUCK BERRY - The Great 28
239	/+	COLDPLAY - Parachutes
249	/+	CROSBY, STILLS & NASH - CSN
259	/+	FEIST - Mushaboom
271	/+	FORREST GUMP - CD 1
287	/+	FORREST GUMP - CD 2
303	/+	STEVIE WONDER - Songs in the Key of Life
323	/+	FUN LOVIN' CRIMINALS - FLC
334	/+	GNAWA DIFFUSION - Algeria
347	/+	HEPCAT - Right On Time
360	/+	BEASTIE BOYS - Hot sauce committee part two
372	/+	JAVA - Hawaï
385	/+	LES NEGRESSES VERTES - Mlah
399	/+	THE VELVET UNDERGROUND - Loaded
407	/+	MORPHINE - Cure For Pain
428	/+	MORPHINE - Good
439	/+	MOTORHEAD - Ace of Spades
443	  *	CAKE - Motorcade of Generosity (Album)
444	  *	CLAUDE DEBUSSY - Best Of (Album)
445	  *	ERIK SATIE - Gymnopédies & Gnossiennes (Album)
446	  *	HANK WILLIAMS - The Best of Country Music
447	  *	JOHNNY CASH - Best Of (Album)
448	  .	LANKUM - Live at WGBH
449	  .	LANKUM - The Old Man from Over the Sea
450	  *	LEADBELLY - Greatest Hits (Album)
451	  *	LHASA - La Llorona (Album)
452	  *	MANO NEGRA - Best Of (Album)
453	  *	MANU CHAO - Clandestino (Album)
454	  *	OLD CROW MEDICINE SHOW - OCMS (Album)
455	  *	OTIS REDDING - The Dock of the Bay (Album)
456	  *	QUEEN - Greatest Hits (Album)
457	  .	Teenage Mutant Ninja Turtles - Theme
458	  *	THE BE GOOD TANYAS - Blue Horse (Album)
459	  *	TOOTS AND THE MAYTALS - Slatyam Stoot (Album)
460	  *	WOODY GUTHRIE - Greastest Hits (Album)
461	/+	NICK CAVE - Abattoir Blues
470	/+	NICK CAVE - The Lyre of Orpheus
478	/+	NORAH JONES - Come Away With Me
492	/+	NOUVELLE VAGUE - Nouvelle Vague
505	/+	OLD CROW MEDECINE SHOW - Remedy
512	/+	OLD CROW MEDECINE SHOW - Tennessee Pusher
523	/+	BEASTIE BOYS - Paul's Boutique
531	/+	PINK FLOYD - Wish You Were Here
538	/+	PULP FICTION - Pulp Fiction
554	/+	RAGE AGAINST THE MACHINE - Evil Empire
564	/+	TOM WAITS - Rain Dogs
581	/+	RAMONES - Ramones
591	/+	RED HOT CHILI PEPPERS - Blood Sugar Sex Magik
608	/+	RED HOT CHILI PEPPERS - Mother's Milk
618	/+	RED HOT CHILI PEPPERS - One Hot Minute
631	/+	ROLLING STONES - Forty Licks
651	/+	SIMON & GARFUNKEL - Greatest Hits
667	/+	STEVIE WONDER - Hotter Than July
677	/+	STEVIE WONDER - Innervisions
686	/+	STEVIE WONDER - Talking Book
694	/+	SUBLIME - 40 Oz to Freedom
714	/+	SUBLIME - Robbin' the Hood
730	/+	SUBLIME - Sublime
744	/+	THE BEATLES - A Hard Day's Night
754	/+	THE BEATLES - Help
764	/+	THE BEATLES - Sgt. Pepper's Lonely HEarts Club Band
775	/+	THE CLASH - London Calling
789	/+	THE NO SMOKING ORCHESTRA - Unza Unza Time
801	/+	THE FUGEES - The Score
810	/+	TOM WAITS - Used Songs
826	/+	TOOTS AND THE MAYTALS - Funky Kingston
832	/+	WHITE STRIPES - Elephant
848	/+	WILLIE NELSON - Best OF CD 1
860	/+	WILLIE NELSON - Best OF CD 2
