STEVIE WONDER,Hotter Than July,https://www.youtube.com/playlist?list=PL8Lpw39GxwbMg4ZuoKPODeK2gUlpifsoc
STEVIE WONDER,Talking Book,https://www.youtube.com/playlist?list=PL-UWPlRIl68qvLSYF7t-NMpyZ0fFyMjO5
MOTORHEAD,Ace Of Spades,https://www.youtube.com/playlist?list=PLSD7oAnX5glkgGrYHChqA-RZkQBl_ASau
RAMONES,Ramones,https://www.youtube.com/playlist?list=PLBnJv6rImVe-LcbIsBXzIp6BpV6hqZnoO
TOOTS AND THE MAYTALS,Slatyam Root,https://www.youtube.com/watch?v=H3Mw1yOJn1Q
TOOTS AND THE MAYTALS,Funky Kingston,https://www.youtube.com/playlist?list=PLY5oxX5-i3CRcMQZ91duCEjLO_rboZ0Bt
CHUCK BERRY,Best Of,https://www.youtube.com/playlist?list=PLZ-KH7o-aD2hvjZOm3TEqAbFApc6-ee8w
LES NEGRESSES VERTES,Mlah,https://www.youtube.com/playlist?list=PLJXgtRwKYjFvRpbXYXMno82CRRyzFnJTu
FUN LOVIN CRIMINALS,Come Find Yourself,https://www.youtube.com/playlist?list=PL-QSKXRtHSmsNKQ-beVWed9IhqB99HyXO
FUGEES,The Score,https://www.youtube.com/playlist?list=PLql5iS_v4447jeMuhZPsylCOYcd19gc2g
THE VELVET UNDERGROUND,Loaded,https://www.youtube.com/playlist?list=PLkEPiaori89MAErFZCa3EHXiHSQcQlNdF
ROBERT JOHNSON,King Of The Delta BLues,https://www.youtube.com/playlist?list=PLYPx-lRv1uyB8Rrw1GNrluTznSqO5-FBN
LEADBELLY,Greatest Hits,https://www.youtube.com/watch?v=5WyIbOYrH2k
EMIR KUSTURICA,Unza Unza Time,https://www.youtube.com/playlist?list=PLa7DwXF9n16GxYEDvH70y1_jEX10StpyN
THE BEATLES,Sgt Peppers,https://www.youtube.com/playlist?list=PL3PhWT10BW3VDM5IcVodrdUpVIhU8f7Z-
THE BEATLES,Help,https://www.youtube.com/playlist?list=PLycVTiaj8OI9JtydS7uKMO1FGl8UDBmcZ
THE BEATLES,Hard Day's Night,https://www.youtube.com/playlist?list=PLycVTiaj8OI-HjTjakWPpJO9Y6kh1icp2

